"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","Discount","PaymentMethod","ShippingCost","Category","SalesChannel","ReturnStatus","ShipmentProvider","WarehouseLocation","OrderPriority"
150390,"SKU_1563","White Mug",34,"2021-03-02 06:00",12.68,21739,"United States",0.05,"Bank Transfer",10.37,"Accessories","Online","Not Returned","Royal Mail","Amsterdam","Low"
191045,"SKU_1150","Backpack",34,"2024-10-22 17:00",24.11,21289,"Sweden",0.14,"Credit Card",16.09,"Accessories","Online","Returned","Royal Mail","Amsterdam","High"
715684,"SKU_1052","Notebook",18,"2024-06-05 17:00",33.71,16778,"France",0.13,"Credit Card",15.13,"Apparel","Online","Not Returned","UPS","Berlin","Medium"
855110,"SKU_1281","White Mug",3,"2021-06-18 17:00",46.11,31138,"Italy",0.11,"Credit Card",9.05,"Apparel","Online","Not Returned","UPS","Rome","Low"
646947,"SKU_1083","Wireless Mouse",3,"2025-05-27 03:00",96.68,19225,"Netherlands",0.27,"Credit Card",17.82,"Stationery","Online","Not Returned","UPS","Berlin","Medium"
403588,"SKU_1357","Backpack",27,"2023-03-29 20:00",40.69,89072,"Norway",0.2,"paypall",17.92,"Furniture","In-store","Not Returned","UPS","Paris","High"
768385,"SKU_1517","Backpack",20,"2025-03-03 23:00",62.83,41480,"Portugal",0.08,"Credit Card",11.84,"Stationery","Online","Not Returned","DHL","Rome","Low"
885608,"SKU_1425","Backpack",26,"2022-01-14 08:00",96.52,14199,"Portugal",0.18,"Bank Transfer",25.46,"Accessories","Online","Not Returned","UPS","London","High"
834005,"SKU_1508","White Mug",25,"2020-05-16 10:00",89.44,43470,"Netherlands",0.04,"paypall",27.22,"Stationery","Online","Not Returned","UPS","Paris","Low"
816747,"SKU_1321","Desk Lamp",42,"2024-05-15 10:00",68.92,84022,"Germany",0.04,"paypall",5.65,"Accessories","In-store","Not Returned","FedEx","Paris","Low"
564462,"SKU_1546","Headphones",41,"2020-08-30 04:00",61.84,60468,"Spain",0.44,"Bank Transfer",7.11,"Electronics","In-store","Not Returned","FedEx","London","Medium"
457479,"SKU_1327","T-shirt",14,"2023-01-11 14:00",85.46,29971,"Spain",0.03,"Bank Transfer",16.95,"Apparel","In-store","Not Returned","UPS","Paris","Low"
378252,"SKU_1174","Blue Pen",41,"2021-12-19 16:00",2.95,98492,"Sweden",0.21,"Bank Transfer",21.96,"Accessories","Online","Not Returned","DHL","Berlin","High"
938394,"SKU_1984","T-shirt",8,"2022-07-25 04:00",25.72,29191,"United Kingdom",0.18,"Bank Transfer",22.77,"Apparel","Online","Not Returned","DHL","Berlin","Low"
404592,"SKU_1857","Headphones",30,"2022-01-28 01:00",36.22,83809,"Australia",0.18,"Bank Transfer",22.69,"Furniture","In-store","Not Returned","DHL","Berlin","Medium"
807259,"SKU_1853","Desk Lamp",11,"2023-01-24 15:00",23.5,63544,"Portugal",0.11,"paypall",12.68,"Accessories","Online","Not Returned","DHL","Rome","High"
901859,"SKU_1824","Wireless Mouse",46,"2024-09-17 07:00",28.56,21847,"Portugal",0.2,"Bank Transfer",26.36,"Furniture","Online","Not Returned","Royal Mail","London","High"
824071,"SKU_1923","T-shirt",40,"2021-05-09 09:00",85.79,35529,"United Kingdom",0.18,"Bank Transfer",6.8,"Electronics","In-store","Not Returned","DHL","London","Medium"
700824,"SKU_1963","Backpack",14,"2025-03-13 12:00",74.77,28906,"United States",0.19,"paypall",16.44,"Stationery","In-store","Not Returned","DHL","Berlin","Medium"
969941,"SKU_1461","Blue Pen",20,"2021-06-30 12:00",45.33,90338,"Norway",0.4,"paypall",12.99,"Electronics","Online","Not Returned","UPS","Rome","High"
594465,"SKU_1554","USB Cable",45,"2025-08-12 15:00",6.06,50515,"United States",0.27,"Credit Card",20.06,"Stationery","In-store","Not Returned","Royal Mail","Paris","Medium"
119510,"SKU_1365","White Mug",13,"2021-05-15 14:00",38.11,77622,"France",0.25,"paypall",22.93,"Electronics","Online","Not Returned","DHL","Paris","High"
221497,"SKU_1628","T-shirt",45,"2023-04-12 14:00",24.84,47771,"Spain",0.3,"Credit Card",20.36,"Accessories","Online","Not Returned","UPS","Rome","High"
418034,"SKU_1437","Backpack",30,"2025-03-26 11:00",75.4,32436,"Portugal",0.38,"Credit Card",28.33,"Apparel","In-store","Not Returned","DHL","Berlin","Medium"
578187,"SKU_1533","Desk Lamp",18,"2023-01-10 03:00",45.38,94027,"France",0.15,"paypall",15.39,"Apparel","In-store","Not Returned","Royal Mail","Berlin","Low"
172858,"SKU_1463","Headphones",13,"2025-02-24 18:00",65.69,56681,"Belgium",0.01,"paypall",5.41,"Stationery","In-store","Not Returned","DHL","Rome","Medium"
659086,"SKU_1875","Blue Pen",43,"2023-05-18 13:00",79.4,22425,"Italy",0.17,"Bank Transfer",24.36,"Electronics","Online","Not Returned","Royal Mail","London","Medium"
992353,"SKU_1131","USB Cable",12,"2022-05-06 03:00",32.52,76659,"Germany",0.39,"Credit Card",25.81,"Electronics","In-store","Not Returned","DHL","London","High"
616835,"SKU_1089","White Mug",40,"2020-07-12 00:00",49.43,32278,"France",0.28,"paypall",19.42,"Apparel","Online","Not Returned","UPS","Paris","High"
194476,"SKU_1732","T-shirt",6,"2025-08-09 02:00",63.59,68850,"United Kingdom",0.08,"Bank Transfer",23.28,"Accessories","In-store","Not Returned","DHL","Rome","Medium"
806673,"SKU_1762","Wall Clock",15,"2020-07-23 04:00",15.12,93928,"Belgium",0.3,"Bank Transfer",15.57,"Furniture","In-store","Not Returned","FedEx","London","High"
575135,"SKU_1786","Headphones",13,"2023-05-28 04:00",48.83,84556,"Australia",0.42,"Bank Transfer",14.65,"Accessories","Online","Not Returned","FedEx","Berlin","High"
160941,"SKU_1057","Blue Pen",17,"2023-02-20 13:00",20.7,99758,"United Kingdom",0.29,"Bank Transfer",19.66,"Furniture","Online","Not Returned","DHL","Paris","High"
373087,"SKU_1578","White Mug",31,"2024-09-25 01:00",20.85,76923,"Spain",0.1,"Credit Card",10.55,"Apparel","Online","Not Returned","DHL","Paris","Medium"
943523,"SKU_1949","Headphones",2,"2020-02-09 06:00",7.69,79430,"Belgium",0.09,"Bank Transfer",29.35,"Accessories","Online","Not Returned","DHL","Rome","High"
942000,"SKU_1667","Headphones",8,"2020-06-25 01:00",7.23,19716,"Italy",0.16,"paypall",9.01,"Electronics","In-store","Returned","UPS","Amsterdam","Medium"
587043,"SKU_1134","White Mug",44,"2023-03-13 00:00",76.57,47093,"Norway",0.38,"Bank Transfer",10.82,"Stationery","Online","Not Returned","DHL","Amsterdam","Medium"
528910,"SKU_1851","Wireless Mouse",6,"2021-02-23 14:00",34.91,22060,"Portugal",0.11,"Credit Card",10.2,"Electronics","Online","Not Returned","UPS","Amsterdam","High"
510761,"SKU_1891","Desk Lamp",7,"2022-08-03 19:00",73.45,86793,"United Kingdom",0.19,"Credit Card",18.02,"Stationery","Online","Returned","FedEx","Berlin","Low"
827449,"SKU_1084","Wall Clock",24,"2021-07-24 04:00",27.31,89476,"Spain",0.45,"Bank Transfer",24.93,"Apparel","In-store","Not Returned","UPS","Amsterdam","High"
143935,"SKU_1157","Office Chair",30,"2024-10-06 01:00",62.97,58287,"Norway",0.3,"Credit Card",26.69,"Furniture","In-store","Not Returned","UPS","Amsterdam","Medium"
162415,"SKU_1316","Wireless Mouse",5,"2023-08-10 22:00",31.98,90249,"Germany",0.12,"Credit Card",16.51,"Apparel","Online","Not Returned","Royal Mail","London","High"
906016,"SKU_1968","Wall Clock",46,"2023-11-09 19:00",84.83,46256,"France",0.36,"Bank Transfer",17.65,"Electronics","In-store","Not Returned","Royal Mail","London","High"
423121,"SKU_1897","Notebook",10,"2023-05-02 19:00",19.64,16492,"Australia",0.22,"Bank Transfer",23.43,"Stationery","Online","Not Returned","DHL","Amsterdam","Medium"
243635,"SKU_1665","Blue Pen",31,"2021-07-26 23:00",47.98,45354,"Spain",0.16,"Bank Transfer",11.29,"Accessories","Online","Not Returned","Royal Mail","London","Low"
473145,"SKU_1491","Blue Pen",14,"2020-12-29 03:00",12.32,99832,"France",0.34,"paypall",19.38,"Furniture","Online","Not Returned","UPS","London","High"
345365,"SKU_1822","White Mug",5,"2024-06-26 23:00",37.14,93530,"Netherlands",0.09,"Credit Card",11.11,"Electronics","In-store","Not Returned","DHL","Berlin","Medium"
184482,"SKU_1262","Backpack",26,"2023-08-26 23:00",94.47,16377,"Norway",0.34,"Credit Card",22.16,"Electronics","Online","Not Returned","DHL","Paris","Low"
929735,"SKU_1299","Office Chair",2,"2020-02-23 05:00",35.45,15347,"Germany",0.36,"Credit Card",17.98,"Stationery","Online","Not Returned","Royal Mail","London","Low"
776803,"SKU_1980","T-shirt",31,"2023-12-19 12:00",57.54,56749,"Australia",0.34,"Bank Transfer",16.98,"Stationery","Online","Returned","Royal Mail","Rome","Medium"
438424,"SKU_1932","Notebook",6,"2023-09-04 13:00",48.29,92029,"United States",0.26,"paypall",11.14,"Electronics","In-store","Returned","DHL","Paris","High"
789087,"SKU_1934","Wireless Mouse",23,"2025-05-17 18:00",5.26,63168,"Spain",0.13,"paypall",15.91,"Furniture","In-store","Not Returned","FedEx","Amsterdam","Low"
688216,"SKU_1016","Headphones",47,"2020-10-15 01:00",2.1,29280,"Sweden",0.44,"Credit Card",22.28,"Electronics","In-store","Not Returned","UPS","London","High"
731186,"SKU_1921","T-shirt",20,"2021-08-04 07:00",32.24,81657,"Norway",0.27,"paypall",11.38,"Furniture","Online","Not Returned","Royal Mail","Rome","Medium"
720832,"SKU_1094","White Mug",37,"2024-02-08 15:00",66.63,74064,"France",0.43,"Credit Card",18.19,"Apparel","Online","Not Returned","UPS","London","High"
456611,"SKU_1552","Blue Pen",34,"2022-04-19 07:00",81.92,16744,"France",0.2,"paypall",23.19,"Apparel","In-store","Not Returned","DHL","Amsterdam","Low"
337069,"SKU_1703","USB Cable",15,"2020-09-30 22:00",85.85,81319,"Australia",0.14,"paypall",6.05,"Stationery","In-store","Not Returned","Royal Mail","Amsterdam","Low"
988733,"SKU_1430","Notebook",33,"2025-02-08 18:00",58.19,46316,"United Kingdom",0.15,"Bank Transfer",26.27,"Accessories","Online","Not Returned","UPS","London","High"
196626,"SKU_1991","White Mug",18,"2023-04-05 11:00",77.87,19672,"Norway",0.24,"Credit Card",28.58,"Furniture","In-store","Not Returned","Royal Mail","Amsterdam","Medium"
304562,"SKU_1973","USB Cable",34,"2024-08-23 15:00",91.42,10727,"Australia",0.39,"Bank Transfer",7.92,"Stationery","Online","Not Returned","UPS","Amsterdam","High"
514082,"SKU_1481","Wireless Mouse",43,"2025-03-05 22:00",52.41,37791,"Italy",0.04,"Bank Transfer",18.02,"Electronics","Online","Not Returned","Royal Mail","Rome","High"
202262,"SKU_1181","Wireless Mouse",20,"2023-12-23 14:00",52.64,72833,"Norway",0.13,"Bank Transfer",26.43,"Electronics","Online","Not Returned","Royal Mail","London","Low"
569901,"SKU_1278","Desk Lamp",39,"2024-10-14 10:00",73.61,96157,"Germany",0.11,"Credit Card",5.66,"Accessories","Online","Not Returned","UPS","London","Medium"
298879,"SKU_1152","Headphones",2,"2022-05-31 08:00",26.34,25813,"United States",0.03,"Credit Card",21.38,"Furniture","Online","Not Returned","FedEx","Amsterdam","High"
846834,"SKU_1763","Office Chair",42,"2025-02-23 22:00",26.16,82937,"Spain",0.01,"paypall",23.84,"Stationery","In-store","Not Returned","UPS","Amsterdam","High"
443288,"SKU_1877","White Mug",6,"2021-12-10 17:00",34.9,70598,"Belgium",0.06,"paypall",13.31,"Apparel","In-store","Not Returned","FedEx","Amsterdam","Medium"
444950,"SKU_1319","Office Chair",2,"2021-05-31 03:00",53.01,43072,"France",0.23,"Credit Card",9.64,"Apparel","In-store","Returned","FedEx","London","Medium"
505684,"SKU_1503","Wall Clock",8,"2024-11-06 00:00",76.72,99098,"Norway",0.44,"Bank Transfer",5.61,"Apparel","Online","Not Returned","UPS","Amsterdam","Low"
639700,"SKU_1989","Wireless Mouse",23,"2022-12-26 04:00",19.33,90846,"Portugal",0.24,"Credit Card",20.78,"Apparel","Online","Not Returned","DHL","Paris","Medium"
600549,"SKU_1580","Wireless Mouse",10,"2021-08-21 05:00",28.95,88946,"Portugal",0.4,"Bank Transfer",24.35,"Electronics","In-store","Not Returned","DHL","London","Low"
571563,"SKU_1772","Blue Pen",32,"2024-01-11 02:00",63.31,65796,"Australia",0.42,"Credit Card",24.83,"Stationery","Online","Not Returned","FedEx","Berlin","Low"
294444,"SKU_1462","Wall Clock",16,"2022-09-18 16:00",29.85,95569,"Sweden",0.49,"Credit Card",14.79,"Electronics","In-store","Not Returned","UPS","Rome","High"
620971,"SKU_1461","Headphones",9,"2023-11-22 10:00",51.22,88395,"Italy",0.07,"Credit Card",14.38,"Apparel","In-store","Not Returned","FedEx","London","Low"
418401,"SKU_1686","T-shirt",32,"2024-02-21 00:00",10.28,44346,"Norway",0.14,"paypall",16.8,"Stationery","Online","Not Returned","UPS","Berlin","High"
613622,"SKU_1757","Office Chair",34,"2020-12-05 20:00",3.66,97425,"Italy",0.37,"paypall",8.42,"Furniture","In-store","Not Returned","UPS","Amsterdam","High"
190930,"SKU_1679","Wireless Mouse",7,"2023-06-30 23:00",49.91,38421,"United States",0.04,"Credit Card",12.03,"Accessories","In-store","Not Returned","Royal Mail","Rome","High"
739791,"SKU_1163","Wall Clock",19,"2021-11-07 05:00",16.59,75766,"United States",0.38,"paypall",22.28,"Accessories","In-store","Not Returned","UPS","Paris","High"
932651,"SKU_1136","White Mug",9,"2021-04-01 10:00",35.95,47369,"Germany",0.47,"paypall",6.85,"Accessories","In-store","Not Returned","FedEx","Rome","Medium"
875533,"SKU_1452","USB Cable",30,"2025-02-18 11:00",39.97,16559,"Italy",0.38,"paypall",17.03,"Stationery","Online","Not Returned","Royal Mail","Rome","Medium"
870936,"SKU_1184","Blue Pen",19,"2025-07-08 09:00",79.97,84468,"Belgium",0.06,"Credit Card",16.81,"Electronics","Online","Not Returned","Royal Mail","Paris","High"
450417,"SKU_1497","Wall Clock",35,"2024-03-04 01:00",95.7,99803,"Italy",0.25,"paypall",29.51,"Furniture","In-store","Not Returned","UPS","London","Medium"
734198,"SKU_1409","Backpack",5,"2022-10-19 01:00",52.7,53058,"Australia",0.47,"Credit Card",10.16,"Electronics","In-store","Not Returned","FedEx","London","Low"
117038,"SKU_1722","Backpack",38,"2022-10-15 15:00",84.53,72597,"Germany",0.21,"paypall",11.62,"Accessories","In-store","Not Returned","DHL","Berlin","Low"
404524,"SKU_1375","Blue Pen",48,"2023-06-14 11:00",88.41,40769,"Sweden",0.05,"Bank Transfer",17.93,"Accessories","In-store","Not Returned","Royal Mail","Paris","Low"
723277,"SKU_1796","Wall Clock",8,"2025-01-29 15:00",96.98,64424,"United States",0.3,"Bank Transfer",16.59,"Stationery","Online","Not Returned","FedEx","Amsterdam","Low"
909723,"SKU_1027","USB Cable",5,"2025-08-29 07:00",29.71,52647,"Italy",0.15,"paypall",29.47,"Accessories","In-store","Not Returned","Royal Mail","Amsterdam","Low"
274001,"SKU_1340","Notebook",15,"2021-03-06 20:00",88.64,18004,"Sweden",0.28,"paypall",22.75,"Apparel","Online","Not Returned","FedEx","Paris","Medium"
577746,"SKU_1225","Notebook",15,"2020-05-20 09:00",11.3,34015,"France",0,"paypall",29.89,"Electronics","In-store","Not Returned","DHL","Paris","Medium"
622222,"SKU_1952","Office Chair",42,"2022-06-13 19:00",16.77,75345,"Portugal",0.42,"Credit Card",6.83,"Furniture","Online","Not Returned","DHL","Amsterdam","Low"
891178,"SKU_1353","T-shirt",27,"2021-09-01 14:00",4.1,80779,"Sweden",0.47,"Bank Transfer",24.83,"Furniture","In-store","Not Returned","DHL","Paris","Low"
355931,"SKU_1340","Notebook",7,"2021-11-08 05:00",42.9,28843,"Germany",0.3,"paypall",15.21,"Accessories","Online","Not Returned","DHL","London","Low"
590999,"SKU_1567","White Mug",26,"2020-10-07 13:00",6.19,66268,"Spain",0.46,"paypall",21.94,"Accessories","Online","Returned","Royal Mail","Rome","Medium"
711726,"SKU_1951","Wall Clock",48,"2020-09-12 01:00",42.91,19617,"France",0.25,"paypall",17.98,"Apparel","Online","Not Returned","FedEx","Rome","High"
886885,"SKU_1582","Wireless Mouse",18,"2021-03-05 14:00",13.1,89346,"United Kingdom",0.04,"Bank Transfer",28.24,"Electronics","In-store","Not Returned","Royal Mail","Rome","Medium"
878053,"SKU_1675","Headphones",7,"2021-05-03 23:00",85.45,63194,"Netherlands",0.36,"paypall",15.07,"Electronics","In-store","Not Returned","FedEx","Rome","High"
598493,"SKU_1347","Wall Clock",5,"2022-09-18 05:00",2.76,18576,"Germany",0.08,"Bank Transfer",8.57,"Electronics","Online","Not Returned","UPS","Berlin","Low"
717854,"SKU_1567","Notebook",16,"2024-02-21 03:00",61.52,10552,"United States",0.33,"Credit Card",21.88,"Accessories","In-store","Not Returned","UPS","Berlin","Medium"
220522,"SKU_1155","Wireless Mouse",19,"2022-03-15 21:00",55.48,30040,"Sweden",0.4,"Credit Card",21.8,"Accessories","In-store","Not Returned","Royal Mail","London","Medium"
673570,"SKU_1605","T-shirt",8,"2022-04-30 21:00",10.62,84793,"United Kingdom",0.39,"Credit Card",5.94,"Accessories","In-store","Returned","DHL","Amsterdam","High"
697425,"SKU_1518","Notebook",28,"2024-03-27 08:00",92.05,49083,"Italy",0.15,"paypall",7.44,"Electronics","Online","Not Returned","Royal Mail","London","High"
359188,"SKU_1951","Backpack",2,"2022-04-17 23:00",29.76,84468,"Spain",0.15,"Credit Card",9.33,"Furniture","In-store","Not Returned","DHL","Amsterdam","Medium"
217982,"SKU_1498","Headphones",38,"2024-04-03 14:00",69.01,37546,"Spain",0.47,"Bank Transfer",14.73,"Stationery","Online","Not Returned","DHL","Paris","Medium"
589847,"SKU_1796","Wall Clock",5,"2021-04-22 00:00",5.88,65538,"Germany",0.25,"paypall",22.26,"Stationery","Online","Not Returned","FedEx","Amsterdam","Medium"
169409,"SKU_1946","USB Cable",11,"2021-05-27 00:00",80.14,70123,"Belgium",0.35,"Credit Card",15.61,"Accessories","In-store","Not Returned","FedEx","Amsterdam","High"
594829,"SKU_1120","Headphones",8,"2020-12-26 10:00",37.77,99536,"Portugal",0.4,"Credit Card",17.83,"Furniture","Online","Not Returned","UPS","Paris","Medium"
768795,"SKU_1499","T-shirt",43,"2021-07-06 11:00",47.33,50972,"Norway",0.33,"Bank Transfer",9.29,"Apparel","Online","Not Returned","UPS","Berlin","High"
223765,"SKU_1487","Backpack",31,"2020-07-19 09:00",64.62,31423,"Sweden",0.04,"Bank Transfer",11.24,"Electronics","In-store","Not Returned","FedEx","Paris","Medium"
191088,"SKU_1227","Desk Lamp",19,"2020-06-26 09:00",53.86,11540,"United Kingdom",0.25,"Bank Transfer",15.59,"Furniture","In-store","Not Returned","FedEx","London","Medium"
530779,"SKU_1346","Wireless Mouse",10,"2021-04-28 10:00",33.95,94976,"Australia",0.14,"Credit Card",24.4,"Electronics","In-store","Not Returned","Royal Mail","Rome","Medium"
388075,"SKU_1134","Office Chair",26,"2020-03-21 00:00",47,57903,"Netherlands",0.12,"Bank Transfer",26.52,"Accessories","In-store","Not Returned","Royal Mail","London","High"
575428,"SKU_1030","Notebook",22,"2022-08-02 17:00",47.31,24845,"Spain",0.1,"Bank Transfer",21.05,"Accessories","Online","Not Returned","Royal Mail","London","Medium"
805195,"SKU_1590","Backpack",38,"2023-12-01 03:00",78.33,90591,"Portugal",0.08,"Credit Card",19.18,"Apparel","In-store","Not Returned","Royal Mail","Paris","Medium"
406093,"SKU_1267","T-shirt",28,"2020-08-23 08:00",97.15,45016,"Portugal",0.33,"Credit Card",15.64,"Furniture","In-store","Not Returned","UPS","Paris","Medium"
807054,"SKU_1197","Blue Pen",49,"2024-10-09 06:00",90.35,10165,"Italy",0.2,"Credit Card",24.05,"Apparel","In-store","Not Returned","DHL","Berlin","Low"
757162,"SKU_1974","Wireless Mouse",10,"2020-01-13 19:00",85.27,34037,"Portugal",0.21,"Bank Transfer",9.91,"Apparel","In-store","Not Returned","FedEx","Berlin","Medium"
384580,"SKU_1485","Wireless Mouse",20,"2020-05-20 18:00",46.3,70461,"Spain",0.05,"Credit Card",27.51,"Furniture","Online","Not Returned","FedEx","London","Medium"
996020,"SKU_1953","Notebook",12,"2022-05-16 20:00",1.39,94096,"Germany",0.22,"Credit Card",13.63,"Furniture","Online","Not Returned","FedEx","Amsterdam","Medium"
173606,"SKU_1136","Blue Pen",14,"2021-01-18 05:00",92.69,91301,"Sweden",0.46,"paypall",22.36,"Stationery","In-store","Not Returned","DHL","Paris","Medium"
334627,"SKU_1484","Headphones",3,"2020-05-16 00:00",50.52,17000,"Italy",0.32,"Credit Card",30,"Furniture","In-store","Not Returned","DHL","London","Medium"
962522,"SKU_1282","USB Cable",18,"2020-02-17 21:00",95.47,20041,"Norway",0.25,"Credit Card",17.15,"Apparel","Online","Not Returned","UPS","Paris","High"
965139,"SKU_1080","White Mug",22,"2020-05-27 12:00",44.77,84438,"Portugal",0.03,"paypall",21.09,"Furniture","Online","Not Returned","DHL","Paris","High"
994923,"SKU_1702","USB Cable",44,"2020-12-30 15:00",66.75,38734,"United Kingdom",0.11,"paypall",27.02,"Stationery","Online","Not Returned","DHL","Paris","High"
173079,"SKU_1761","Blue Pen",20,"2021-11-25 20:00",90.63,50287,"United Kingdom",0.2,"paypall",27.07,"Stationery","Online","Not Returned","FedEx","Berlin","Medium"
135976,"SKU_1386","Headphones",28,"2024-10-12 12:00",32.42,20519,"Germany",0.33,"Bank Transfer",26.53,"Accessories","Online","Not Returned","UPS","Berlin","Low"
570640,"SKU_1123","White Mug",39,"2023-07-10 00:00",9.66,83870,"United States",0.1,"Bank Transfer",29.07,"Furniture","In-store","Not Returned","DHL","Amsterdam","Low"
109756,"SKU_1211","Blue Pen",30,"2022-10-27 11:00",28.68,32100,"Italy",0.01,"Credit Card",17.47,"Apparel","Online","Not Returned","Royal Mail","London","Medium"
139875,"SKU_1621","Notebook",33,"2024-03-07 19:00",41.03,77242,"Germany",0.48,"Credit Card",21.91,"Apparel","Online","Returned","DHL","Rome","High"
254558,"SKU_1915","Wall Clock",35,"2023-09-02 17:00",46.55,91486,"Belgium",0.47,"Bank Transfer",15.62,"Furniture","In-store","Not Returned","Royal Mail","Paris","Low"
878480,"SKU_1854","USB Cable",19,"2023-11-26 13:00",10.92,23151,"United States",0.02,"Credit Card",17.84,"Apparel","Online","Not Returned","UPS","London","Medium"
373661,"SKU_1620","Wireless Mouse",43,"2021-11-13 19:00",47.17,21685,"United Kingdom",0.3,"paypall",18.18,"Electronics","In-store","Not Returned","Royal Mail","Rome","Medium"
123624,"SKU_1786","T-shirt",32,"2020-02-14 07:00",1.29,58916,"Norway",0.31,"Credit Card",17.19,"Apparel","In-store","Not Returned","FedEx","Berlin","Low"
184926,"SKU_1511","Desk Lamp",17,"2024-06-16 10:00",52.58,27348,"Belgium",0.39,"Bank Transfer",12.6,"Stationery","In-store","Not Returned","UPS","Paris","Low"
967827,"SKU_1069","Headphones",6,"2025-07-17 11:00",69.33,50477,"Norway",0.31,"Credit Card",9.28,"Stationery","Online","Not Returned","DHL","London","High"
422742,"SKU_1528","Desk Lamp",40,"2023-01-03 02:00",80.88,31409,"Sweden",0.19,"Bank Transfer",27.67,"Electronics","In-store","Not Returned","DHL","Amsterdam","Medium"
200898,"SKU_1638","T-shirt",48,"2024-11-29 16:00",9.43,81854,"United States",0.43,"Credit Card",19.36,"Accessories","In-store","Not Returned","FedEx","Berlin","Low"
843635,"SKU_1054","White Mug",39,"2024-03-29 20:00",96.9,36769,"United Kingdom",0,"Credit Card",7.27,"Furniture","Online","Returned","UPS","Berlin","Medium"
533855,"SKU_1701","Wall Clock",47,"2021-08-29 22:00",8.59,47868,"Spain",0.01,"Bank Transfer",20.5,"Accessories","Online","Not Returned","Royal Mail","Berlin","Low"
307500,"SKU_1355","Wireless Mouse",47,"2021-04-11 04:00",76.66,74080,"Sweden",0.09,"Bank Transfer",10.81,"Stationery","Online","Not Returned","FedEx","Amsterdam","High"
427461,"SKU_1203","Desk Lamp",4,"2023-12-28 15:00",64.64,27255,"Spain",0.47,"Credit Card",22.36,"Accessories","Online","Not Returned","DHL","Berlin","Low"
787016,"SKU_1397","Wall Clock",20,"2020-05-14 17:00",96.32,27812,"Germany",0.18,"Bank Transfer",14.73,"Accessories","In-store","Not Returned","Royal Mail","Amsterdam","High"
481888,"SKU_1388","Desk Lamp",8,"2024-09-13 20:00",10.27,22844,"United Kingdom",0.49,"Credit Card",19.34,"Stationery","Online","Returned","DHL","Paris","Medium"
316992,"SKU_1389","Backpack",27,"2022-06-27 08:00",17.15,11653,"Italy",0.26,"paypall",22.83,"Accessories","In-store","Not Returned","FedEx","Rome","Medium"
487554,"SKU_1759","White Mug",35,"2021-12-02 13:00",46.15,22823,"Australia",0.11,"Bank Transfer",27.55,"Furniture","Online","Not Returned","FedEx","Paris","Medium"
931579,"SKU_1253","Headphones",11,"2023-05-10 03:00",72.91,18673,"Germany",0.15,"paypall",20.66,"Accessories","Online","Not Returned","UPS","Amsterdam","High"
146539,"SKU_1193","White Mug",6,"2021-10-21 09:00",22.3,45751,"Norway",0.38,"paypall",20.01,"Furniture","In-store","Not Returned","Royal Mail","Berlin","Low"
816948,"SKU_1295","Desk Lamp",26,"2020-05-01 21:00",60.41,12933,"Spain",0.2,"Bank Transfer",15.03,"Apparel","In-store","Not Returned","DHL","Rome","Medium"
681042,"SKU_1739","Office Chair",2,"2020-12-07 20:00",88.19,24004,"Australia",0.43,"paypall",6.17,"Apparel","In-store","Not Returned","FedEx","Rome","Medium"
418783,"SKU_1505","Wireless Mouse",49,"2025-09-04 00:00",95.02,42177,"France",0.48,"Bank Transfer",13.99,"Furniture","In-store","Not Returned","Royal Mail","Berlin","Low"
643593,"SKU_1083","USB Cable",25,"2024-07-15 21:00",2.74,81116,"Australia",0.4,"paypall",21.03,"Accessories","In-store","Not Returned","DHL","Paris","Low"
649723,"SKU_1126","Notebook",21,"2024-12-25 23:00",37.89,37670,"Netherlands",0.24,"Credit Card",25.18,"Apparel","Online","Not Returned","FedEx","Rome","Low"
675087,"SKU_1631","Notebook",36,"2022-10-06 22:00",55.38,49923,"United States",0.37,"Credit Card",28.49,"Accessories","In-store","Not Returned","UPS","Rome","Low"
281601,"SKU_1437","Office Chair",44,"2021-07-31 21:00",15.57,63485,"Spain",0.32,"Credit Card",29.76,"Apparel","Online","Not Returned","UPS","Berlin","High"
308271,"SKU_1699","Backpack",38,"2021-05-17 15:00",53.98,10816,"Spain",0.37,"Credit Card",25.69,"Electronics","Online","Not Returned","Royal Mail","Berlin","Low"
578720,"SKU_1021","USB Cable",27,"2022-01-06 03:00",54.62,63248,"Italy",0.01,"Bank Transfer",8.51,"Stationery","Online","Not Returned","Royal Mail","Paris","Medium"
720447,"SKU_1087","T-shirt",11,"2023-04-19 12:00",15.45,32487,"Netherlands",0.24,"paypall",13.23,"Stationery","Online","Not Returned","Royal Mail","Paris","Medium"
663510,"SKU_1279","USB Cable",33,"2022-07-10 22:00",66.01,86235,"Spain",0.45,"paypall",19.84,"Furniture","Online","Not Returned","UPS","Paris","High"
982341,"SKU_1083","Desk Lamp",22,"2022-10-28 15:00",11.59,45731,"Germany",0.26,"Bank Transfer",26.9,"Accessories","In-store","Not Returned","Royal Mail","Paris","Medium"
713333,"SKU_1599","Backpack",1,"2020-01-12 14:00",97.76,99931,"Norway",0.4,"Bank Transfer",29.28,"Stationery","In-store","Not Returned","Royal Mail","Rome","Low"
